"",Estimate,Std. Error,z value,Pr(>|z|),Odds ratio,2.5 %,97.5 %,Outcome_Period
1M.max_dosage_1M_cat_grouped1.0-4,-0.540409773578357,0.0112774379011853,-47.919552145932,0,0.582509506456558,0.569775334584613,0.595528280211775,1M
1M.max_dosage_1M_cat_grouped2.5-8,-0.595937029884326,0.00738873671884697,-80.6547929044796,0,0.551045977327784,0.543123422342549,0.559084098821315,1M
1M.max_dosage_1M_cat_grouped3.9-12,-0.398813571769294,0.0111845027316761,-35.6576936263601,1.7906116051702e-278,0.671115804623747,0.656564202885326,0.685989917263956,1M
1M.max_dosage_1M_cat_grouped5.17-20,0.084229494356656,0.0131394324734159,6.4104362594862,1.45103811748603e-10,1.08787852714572,1.06022026099716,1.11625832231469,1M
1M.max_dosage_1M_cat_grouped6.21-24,0.432380302421167,0.00939818403623311,46.0067924563084,0,1.54092101973823,1.51279691665648,1.56956797236142,1M
1M.max_dosage_1M_cat_grouped7.25-32,0.397121734764115,0.0191793608272727,20.7056814009889,3.07850523823635e-95,1.48753700399588,1.43265716631867,1.54451908682586,1M
1M.max_dosage_1M_cat_grouped8.33-40,0.400680831860295,0.0378606097866379,10.5830527854231,3.57128884553771e-26,1.49284072525814,1.38607415226011,1.60783131793878,1M
1M.age_cat2.25-34,0.309649780150647,0.00992162172613013,31.2095934211174,7.89562044671802e-214,1.36294769919907,1.33669982476387,1.3897109854714,1M
1M.age_cat3.35-44,0.451909364981485,0.0104335386390326,43.313144333492,0,1.57130952645551,1.53950356646411,1.60377259378528,1M
1M.age_cat4.45-64,0.528095149418869,0.0108363286177633,48.7337702691294,0,1.69569917671737,1.66006429841527,1.73209899198777,1M
1M.age_cat5.65+,0.603201607915736,0.0201443958365516,29.9438917309815,5.28413231803318e-197,1.82796185896546,1.75719593114887,1.90157767759442,1M
1M.raceBLACK,-0.201444384229268,0.0185243194013581,-10.8745903082679,1.52338619609843e-27,0.81754904491598,0.788398675969662,0.847777223903851,1M
1M.raceHISPANIC,-0.186118266040377,0.0215537987377557,-8.63505632138775,5.86981102189775e-18,0.830175407617654,0.795835370668446,0.865997205972721,1M
1M.raceASIAN - OTHER,-0.0746067421284109,0.0448927322252728,-1.66188909496603,0.0965350136065735,0.92810840050535,0.849935444135765,1.01347132777181,1M
1M.raceUNKNOWN,-0.308224298420426,0.00681597941955267,-45.2208376005712,0,0.734750496149425,0.725000182355899,0.744631939039723,1M
1M.PAT_GENDER_CDF,0.0120857029049443,0.00565904702297386,2.1356427779943,0.0327085418104178,1.01215903011818,1.00099466890843,1.02344791043387,1M
1M.paymentCASH,-0.704963950548013,0.00843073377186611,-83.6183385247583,0,0.494126386920532,0.486028563048395,0.502359130335366,1M
1M.paymentMEDICAID,0.0584104119159267,0.0083400697171984,7.00358796707373,2.49489139647067e-12,1.06015000463233,1.04296140932076,1.07762187773936,1M
1M.paymentMEDICARE,0.167642118821409,0.0122484220584476,13.6868339465644,1.21697431779093e-42,1.18251333564499,1.15446340628608,1.21124479248476,1M
1M.year,-0.140760568538337,0.00154118843611024,-91.332484231194,0,0.868697280259121,0.866077188333842,0.871325298593027,1M
3M.max_dosage_3M_cat_grouped1.0-4,-0.680250581088354,0.0126101256870405,-53.9447899228674,0,0.506490059632399,0.49412538743853,0.519164137338207,3M
3M.max_dosage_3M_cat_grouped2.5-8,-0.595974095597884,0.00801496533150128,-74.3576635641233,0,0.551025552793958,0.542437103257403,0.559749983930959,3M
3M.max_dosage_3M_cat_grouped3.9-12,-0.434660566998458,0.0119646139572293,-36.3288417455228,5.67210898379363e-289,0.647484407358215,0.632477406831124,0.662847483948084,3M
3M.max_dosage_3M_cat_grouped5.17-20,0.0293914042350496,0.0124320097773297,2.36417158299264,0.0180704411538304,1.02982759448388,1.00503775987086,1.0552288846309,3M
3M.max_dosage_3M_cat_grouped6.21-24,0.27267774773673,0.00820531700666864,33.2318358346325,3.73569130400226e-242,1.31347690571179,1.29252235336231,1.33477117618145,3M
3M.max_dosage_3M_cat_grouped7.25-32,0.333252340511786,0.0167285670183913,19.9211528486217,2.66777595161284e-88,1.39549939507537,1.35048657257497,1.44201253178147,3M
3M.max_dosage_3M_cat_grouped8.33-40,0.362527729352829,0.0329181857681969,11.0129923898502,3.30829615683911e-28,1.43695706632317,1.34717427721945,1.53272345335891,3M
3M.age_cat2.25-34,0.378451480824672,0.0108086053855049,35.0139048773305,1.38221447348876e-268,1.4600219660177,1.42941747844161,1.49128170979006,3M
3M.age_cat3.35-44,0.534180954759283,0.0111846783415878,47.7600641203106,0,1.70605033744941,1.66905798766084,1.74386257124021,3M
3M.age_cat4.45-64,0.591381947825007,0.0114794339571021,51.5166470781541,0,1.80648315666896,1.76629241822107,1.8475884070291,3M
3M.age_cat5.65+,0.475289051929887,0.0198504342118953,23.9435090868226,1.07969935828607e-126,1.60847906427494,1.54710109078975,1.6722920794336,3M
3M.raceBLACK,-0.238156604916169,0.0178373193290487,-13.351591711896,1.15944690934304e-40,0.788079264342278,0.761003662502893,0.816118183772742,3M
3M.raceHISPANIC,-0.236253373099498,0.02099125839294,-11.2548456446498,2.19209556727104e-29,0.789580590104525,0.757754758309392,0.822743112376815,3M
3M.raceASIAN - OTHER,-0.146165106106321,0.0429069100427628,-3.40656332419759,0.000657862876774928,0.864015037248855,0.794326173303295,0.93981793585832,3M
3M.raceUNKNOWN,-0.364365040929543,0.00645220304020424,-56.4714158341194,0,0.694637577308439,0.685908442086914,0.70347780286949,3M
3M.PAT_GENDER_CDF,0.0237011022853382,0.00560386977601442,4.22941703370467,2.34297664431634e-05,1.02398420560586,1.01279893346395,1.03529300701776,3M
3M.paymentCASH,-0.568033498430734,0.00936745882066487,-60.6390174011372,0,0.566638639559078,0.556330142015605,0.577138148003414,3M
3M.paymentMEDICAID,0.058924137667397,0.00820719714004015,7.17956893955013,6.99315539099749e-13,1.06069477090838,1.04376913177463,1.07789487424247,3M
3M.paymentMEDICARE,0.0441018316744189,0.0112406869446693,3.92341072138241,8.7304127082145e-05,1.04508877260964,1.02231584507819,1.06836898585992,3M
3M.year,-0.136300426455721,0.00152080057437297,-89.6241287335901,0,0.872580446855961,0.869983406234434,0.875185240062126,3M
6M.max_dosage_6M_cat_grouped1.0-4,-0.643968894945426,0.0148758154630739,-43.2896533668319,0,0.52520380330633,0.510112006140313,0.54074209524008,6M
6M.max_dosage_6M_cat_grouped2.5-8,-0.561421740353989,0.0093805048062394,-59.8498430468861,0,0.570397529904155,0.560006329896049,0.580981543871397,6M
