"",Estimate,Std. Error,z value,Pr(>|z|),Odds ratio,2.5 %,97.5 %,Outcome_Period
1M.max_dosage_1M_cat_grouped1.0-4,-0.45203678682933,0.010937787933295,-41.3279896800079,0,0.636330760703427,0.622834492723455,0.650119480773826,1M
1M.max_dosage_1M_cat_grouped2.5-8,-0.530020498275723,0.007168296560858,-73.9395327433668,0,0.588592904415054,0.580381228198042,0.596920765689432,1M
1M.max_dosage_1M_cat_grouped3.9-12,-0.318242397011505,0.0107888727553771,-29.4972796720486,3.11978258705644e-191,0.727426441047022,0.712205917760357,0.74297224150893,1M
1M.max_dosage_1M_cat_grouped5.17-20,0.0569026729883121,0.012463498173591,4.5655459001778,4.98196168917913e-06,1.05855277960299,1.03300772202326,1.08472953620378,1M
1M.max_dosage_1M_cat_grouped6.21-24,0.416711444247994,0.00887969423712121,46.9285803227265,0,1.51696472087861,1.49079206110347,1.54359687338758,1M
1M.max_dosage_1M_cat_grouped7.25-32,0.328740585399559,0.0179014204267628,18.3639385904869,2.5539414475341e-75,1.38921742555585,1.34132032509433,1.43882487975593,1M
1M.max_dosage_1M_cat_grouped8.33-40,0.298894478112836,0.0348482633056677,8.57702650749381,9.73571883939941e-18,1.34836733370006,1.2593467537408,1.44368059169477,1M
1M.age_cat2.25-34,0.29079416593612,0.00966661538152798,30.0823146943243,8.25462805260195e-199,1.33748925476624,1.31238743492091,1.36307119301471,1M
1M.age_cat3.35-44,0.427966566057036,0.0101331552223785,42.2342850440006,0,1.53413478793512,1.50396649312388,1.56490823320415,1M
1M.age_cat4.45-64,0.51836248412506,0.0105132407495367,49.305679996713,0,1.67927555663343,1.64502718660969,1.71423695490304,1M
1M.age_cat5.65+,0.586992402356413,0.0193443607924495,30.3443679868466,2.98132889229871e-202,1.79857089503513,1.73165595810113,1.86807157006793,1M
1M.raceBLACK,-0.183863639054102,0.0177160829882715,-10.3783460020945,3.11118481723245e-25,0.832049255114795,0.803653941357392,0.861447853746306,1M
1M.raceHISPANIC,-0.174603986251667,0.0206303871841953,-8.46343719547004,2.59610244952274e-17,0.839789523123973,0.806510145266895,0.87444212238075,1M
1M.raceASIAN - OTHER,-0.106849083639591,0.0424753584729074,-2.51555460580147,0.0118845265413764,0.898661285447419,0.826877056966576,0.97667736594928,1M
1M.raceUNKNOWN,-0.28886963163649,0.00648679826885914,-44.5319277189877,0,0.749109859263486,0.739646046600148,0.758694761940808,1M
1M.PAT_GENDER_CDF,0.0171701852143531,0.00543441731814806,3.1595264421475,0.00158025760108161,1.01731844015058,1.00654021741941,1.02821207812619,1M
1M.paymentCASH,-0.696931089684107,0.00824551168149098,-84.5224792111489,0,0.498111620419428,0.490126383505094,0.506226954408157,1M
1M.paymentMEDICAID,0.0879186165208628,0.00801591029561412,10.9680140219343,5.44553258100351e-28,1.09189925585182,1.07487859577378,1.10918943740943,1M
1M.paymentMEDICARE,0.195814565210147,0.0116585265820033,16.7958243979489,2.61840833639634e-63,1.21630133983777,1.18882363121941,1.24441415062863,1M
1M.year,-0.135514904677234,0.00147603299235572,-91.810213849593,0,0.87326614708142,0.870743463786488,0.875796138993954,1M
3M.max_dosage_3M_cat_grouped1.0-4,-0.68875902531843,0.0131240430110176,-52.4807046685399,0,0.502198898646587,0.489445737067215,0.515284360863093,3M
3M.max_dosage_3M_cat_grouped2.5-8,-0.579596456505533,0.00826109830613839,-70.1597336125229,0,0.560124355503908,0.551128154453279,0.569267403767277,3M
3M.max_dosage_3M_cat_grouped3.9-12,-0.385962449788457,0.012135661706558,-31.8039888653033,5.70114765016091e-222,0.679796051686611,0.66381757104138,0.696159143789671,3M
3M.max_dosage_3M_cat_grouped5.17-20,0.0162470803393341,0.0125918519802556,1.29028520703786,0.196951651149856,1.01637978184571,0.99160295772953,1.04177569549616,3M
3M.max_dosage_3M_cat_grouped6.21-24,0.246018303620112,0.00826942181229442,29.7503633512017,1.71547312310398e-194,1.27892298224792,1.2583615714834,1.29982036291348,3M
3M.max_dosage_3M_cat_grouped7.25-32,0.28111068161898,0.0167623309354502,16.7703813211602,4.01921181975719e-63,1.32460020471726,1.28178945928995,1.36884079489073,3M
3M.max_dosage_3M_cat_grouped8.33-40,0.265991487703139,0.0327995040498425,8.10961919725785,5.07786461420128e-16,1.30472395244205,1.22348781051874,1.39135394520544,3M
3M.age_cat2.25-34,0.368643304968614,0.0112322457540356,32.8200889689551,3.04409487862952e-236,1.44577181206817,1.414291229643,1.4779531179717,3M
3M.age_cat3.35-44,0.518707714728059,0.0115878442796007,44.7630898562553,0,1.67985539402949,1.64213291912429,1.71844441578751,3M
3M.age_cat4.45-64,0.572553924798227,0.011875658793475,48.2123926558763,0,1.77278884420783,1.73200216695867,1.81453600122589,3M
3M.age_cat5.65+,0.447896110939134,0.0203768771674173,21.9806061183566,4.41527997628541e-107,1.56501609915489,1.50374425157601,1.62878454101953,3M
3M.raceBLACK,-0.228249054369178,0.0180930758764511,-12.6152709427508,1.73958339958823e-36,0.795926006299113,0.768195645558032,0.824657378841389,3M
3M.raceHISPANIC,-0.256891573890719,0.0214342857567138,-11.9850774038624,4.25446768914873e-33,0.773452071618017,0.741632084328861,0.806637306733525,3M
3M.raceASIAN - OTHER,-0.17717036194697,0.043553584709165,-4.06787094862684,4.74446434337308e-05,0.837637070884602,0.769100353435818,0.912281289932715,3M
3M.raceUNKNOWN,-0.34588429823323,0.00651070277315496,-53.1254935579898,0,0.707594352287153,0.698622289486701,0.716681638881788,3M
3M.PAT_GENDER_CDF,0.0313131769407692,0.00570580986038554,5.48794609476408,4.06634106011015e-08,1.0318085919503,1.02033396983442,1.0434122570625,3M
3M.paymentCASH,-0.544559837984178,0.00972570170894365,-55.991830130201,0,0.580097063846328,0.569143964852378,0.591260953756076,3M
3M.paymentMEDICAID,0.0948469706107929,0.00832806389311465,11.3888380094213,4.75285531315486e-30,1.09949058787841,1.08168960238746,1.1175845179292,3M
3M.paymentMEDICARE,0.066674032526605,0.0113326319384705,5.88336697852762,4.02003209711755e-09,1.06894697943198,1.04546575227122,1.09295559644533,3M
3M.year,-0.12687826168528,0.00154699521935599,-82.0159365056728,0,0.880840898156773,0.878174185036209,0.88351570916838,3M
6M.max_dosage_6M_cat_grouped1.0-4,-0.674947800786965,0.0161634045694019,-41.757774353101,0,0.509182998865693,0.493305070721829,0.525571987238013,6M
6M.max_dosage_6M_cat_grouped2.5-8,-0.559252027570697,0.0100534873919166,-55.6276648857545,0,0.571636472304886,0.560482925015479,0.583011973933283,6M
